symbol,name_cn,exchange,currency,lot_size,total_shares,circulating_shares,hk_shares,eps,eps_ttm,bps,dividend_yield,stock_derivatives,board
300013.SZ,新宁物流,SZSE,CNY,100,558358894,446687115,0,-0.1629,-0.0824019201528112,0.3507766571011225,0.0,[],SZGEMNonConnect
300014.SZ,亿纬锂能,SZSE,CNY,100,2074120224,2074120224,0,1.96,1.7851534805534977,19.399376196791764,0.7323310312604135,[],SZGEMConnect
300015.SZ,爱尔眼科,SZSE,CNY,100,9325396670,9299365936,0,0.3847,0.3451893246842442,2.4056579313531765,0.2392205896459737,[],SZGEMConnect
300016.SZ,北陆药业,SZSE,CNY,100,562873163,562873163,0,0.03,0.0593992998028225,3.9281659476275297,0.0436996298933513,[],SZGEMConnect
300017.SZ,网宿科技,SZSE,CNY,100,2459449777,2459449777,0,0.27,0.3503171963856695,4.122375432417703,0.2484366421969836,[],SZGEMConnect
300018.SZ,中元股份,SZSE,CNY,100,485335536,485335536,0,0.16,0.2535056687668549,2.8526098280386374,0.0693503875636257,[],SZGEMNonConnect
300019.SZ,硅宝科技,SZSE,CNY,100,393116700,393116700,0,0.6066,0.7839916216991036,6.803395514487174,0.3,[],SZGEMConnect
300020.SZ,ST银江,SZSE,CNY,100,794677974,766864134,0,-1.18,-1.6583565520465777,3.3685462748210004,0.0,[],SZGEMConnect
300021.SZ,大禹节水,SZSE,CNY,100,1022367469,1022367469,0,0.0946,0.060970907966165,2.467617310386076,0.0517182323218072,[],SZGEMConnect
300022.SZ,吉峰科技,SZSE,CNY,100,494240380,494240380,0,-0.0621,-0.0284242270532408,1.075917271045316,0.0,[],SZGEMNonConnect
300024.SZ,机器人,SZSE,CNY,100,1565619950,1565619950,0,-0.1244,-0.1619005608928272,2.7438039281372215,0.0,[],SZGEMConnect
300025.SZ,华星创业,SZSE,CNY,100,508792922,508792922,0,-0.154247,-0.1531357206458937,1.059870157588395,0.0,[],SZGEMConnect
300026.SZ,红日药业,SZSE,CNY,100,3004154837,3004154837,0,0.01,-0.0220116825589573,2.875512264659613,0.03,[],SZGEMConnect
300027.SZ,华谊兄弟,SZSE,CNY,100,2774505919,2774505919,0,-0.1,-0.1283245493807865,0.0948545204491236,0.0,[],SZGEMConnect
300029.SZ,*ST天龙,SZSE,CNY,100,200506500,200506500,0,-0.1362,-0.1838091268861608,-0.0878261623937379,0.0,[],SZGEMNonConnect
300030.SZ,阳普医疗,SZSE,CNY,100,309187315,309187315,0,-0.38,-0.1660549889635673,2.040296753506851,0.0,[],SZGEMNonConnect
300031.SZ,宝通科技,SZSE,CNY,100,418746695,418746695,0,0.5051,0.432323102036662,9.700417970367504,0.1,[],SZGEMConnect
300032.SZ,金龙机电,SZSE,CNY,100,803169608,803169608,0,-0.1508,-0.0388706544782506,0.8600012563473393,0.0,[],SZGEMConnect
300033.SZ,同花顺,SZSE,CNY,100,537600000,537600000,0,3.39,4.424299122005208,13.955859194996279,3.1,[],SZGEMConnect
300034.SZ,钢研高纳,SZSE,CNY,100,796961563,775137713,0,0.3208,0.1735633498425068,4.785905257428331,0.1,[],SZGEMConnect
300035.SZ,中科电气,SZSE,CNY,100,685426671,685426671,0,0.4392,0.7603970066551436,7.154901876483882,0.25,[],SZGEMConnect
300036.SZ,超图软件,SZSE,CNY,100,492766617,492766617,0,-0.3508,-0.3141053753444503,5.465974262436694,0.0,[],SZGEMConnect
300037.SZ,新宙邦,SZSE,CNY,100,751791551,751791551,0,1.21,1.315022647015622,13.55022919206763,0.3965137889664844,[],SZGEMConnect
300039.SZ,上海凯宝,SZSE,CNY,100,1046000000,1046000000,0,0.3591,0.3303550091491396,4.345100356912046,0.13,[],SZGEMConnect
300040.SZ,九洲集团,SZSE,CNY,100,643410436,643410436,0,-0.93,-0.8934941229800009,3.914036687570918,0.0562175480473556,[],SZGEMNonConnect
300041.SZ,回天新材,SZSE,CNY,100,559434674,559434674,0,0.1824,0.2764752692465394,5.169342249225689,0.1499998439496083,[],SZGEMConnect
300042.SZ,朗科科技,SZSE,CNY,100,200400000,200400000,0,-0.4953,-0.2969720818862275,4.998989988572855,0.0,[],SZGEMConnect
300043.SZ,星辉娱乐,SZSE,CNY,100,1244198401,1244198401,0,-0.37,0.0330864119957987,1.3808011476298305,0.0099782261414432,[],SZGEMConnect
